,Phone Name,Rating,Price,Memory,Display,Camera,Battery
127,"Samsung Galaxy S24 FE 5G (Graphite, 128 GB)",4.5,"₹35,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 12MP | 10MP Front Camera,4700 mAh Battery
128,"Motorola g64 5G (Berry Red, 256 GB)",4.2,"₹15,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery
129,"REDMI 13 5G (Orchid Pink, 128 GB)",4.3,"₹13,744",8 GB RAM | 128 GB ROM,17.25 cm (6.79 inch) Full HD+ Display,108MP Rear Camera,5030 mAh Battery
130,"realme C63 5G Charger in the Box (Forest Green, 128 GB)",4.5,"₹11,499",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5000 mAh Battery
131,"POCO X7 5G (Yellow, 128 GB)",4.3,"₹16,999",8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,50MP + 8MP + 2MP | 20MP Front Camera,5500 mAh Battery
132,"realme C63 5G Charger in the Box (Forest Green, 128 GB)",4.5,"₹10,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5000 mAh Battery
133,"Samsung Galaxy M35 5G (Moonlight Blue, 128 GB)",4.3,"₹15,233",8 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery
134,"Samsung Galaxy M35 5G (Thunder Grey, 128 GB)",4.3,"₹15,238",8 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery
135,"IQOO Z10X 5G (Titanium, 128 GB)",4.4,"₹15,478",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,6500 mAh Battery
136,"Samsung Galaxy M35 5G (DayBreak Blue, 256 GB)",4.3,"₹18,808",8 GB RAM | 256 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery
137,"MOTOROLA Edge 60 Fusion 5G (PANTONE Zephyr, 256 GB)",4.5,"₹24,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,50MP + 13MP | 32MP Front Camera,5500 mAh Battery
138,"Samsung Galaxy M35 5G (Moonlight Blue, 256 GB)",4.3,"₹20,475",8 GB RAM | 256 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery
139,"REDMI 13 5G (Orchid Pink, 128 GB)",4.3,"₹12,001",6 GB RAM | 128 GB ROM,17.25 cm (6.79 inch) Full HD+ Display,108MP Rear Camera,5030 mAh Battery
140,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)",4.1,"₹9,799",6 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
141,"realme C63 5G Charger in the Box (Starry Gold, 128 GB)",4.4,"₹10,999",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5000 mAh Battery
142,"Motorola Edge 50 Fusion (Forest Green, 256 GB)",4.4,"₹20,999",12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery
143,"Apple iPhone 13 (Starlight, 128 GB)",4.6,"₹44,999",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,A15 Bionic Chip Processor
144,"Nokia 106 4G Keypad Mobile, Long-Lasting Battery, MicroSD Card Slot",4,"₹2,598",32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,0MP | 0MP Front Camera,1450 mAh Battery
145,"Infinix Note 50x 5G+ (Sea Breeze Green, 128 GB)",4.3,"₹12,999",8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) HD+ Display,50MP + AI Lens | 8MP Front Camera,5500 mAh Battery
146,"REDMI A3X (Ocean Green, 64 GB)",4.1,"₹6,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,8MP Rear Camera | 5MP Front Camera,5000 mAh Battery
147,itel it5330 | 2.8 inch Big Display | 1900 mAh Battery | Kingvoice,4.1,"₹1,349",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,7.11 cm (2.8 inch) Quarter QVGA Display,0.8MP + 0MP | 0MP Front Camera,1900 mAh Battery
148,"Samsung Galaxy M35 5G (DayBreak Blue, 128 GB)",4.3,"₹15,332",8 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery
149,Kechaoda A27,4,₹898,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1.68 cm (0.66 inch) Display,800 mAh Battery,Processor clock: 400 MHz Processor
